"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.64957408227801e-44,1.70094621453528,0.277,0.033,5.14188492452149e-40,"5","CCDC18"
3.94004579744184e-44,1.31789313179712,0.408,0.066,5.55113052401581e-40,"5","HAUS1"
1.6384548377663e-43,1.99522876967442,0.215,0.021,2.30841902092894e-39,"5","CTNNAL1"
1.66219935721575e-43,2.97655839340253,0.131,0.008,2.34187267438127e-39,"5","ARHGAP33"
2.22559413032046e-43,1.396116139536,0.462,0.084,3.1356395702085e-39,"5","GGCT"
2.68539716025088e-43,1.77250891478748,0.246,0.027,3.78345605907746e-39,"5","BUD13"
3.09227810957662e-43,2.16416452024124,0.223,0.023,4.35671062858251e-39,"5","MMS22L"
5.21501423302615e-43,1.0330097474397,0.485,0.09,7.34743355291054e-39,"5","PPA2"
5.8188089750345e-43,1.2857016352529,0.331,0.047,8.19811996492611e-39,"5","ACTL6A"
6.92249132106436e-43,1.37974278810501,0.446,0.08,9.75309802224757e-39,"5","GMPS"
9.51203849945385e-43,1.34500542643215,0.5,0.098,1.34015110418805e-38,"5","PMVK"
1.64153052671195e-42,1.55110803550082,0.946,0.472,2.31275235908446e-38,"5","RAN"
3.35807174994724e-42,2.26471589436383,0.138,0.009,4.73118728850067e-38,"5","IMPA2"
4.19907900890677e-42,1.21755376717048,0.362,0.055,5.91608241564875e-38,"5","THOC6"
4.2963641002824e-42,1.41396777459423,0.577,0.129,6.05314738088787e-38,"5","MIS18BP1"
5.37796490260446e-42,2.82475779096231,0.1,0.004,7.57701475127942e-38,"5","GINS3"
6.62840168139885e-42,2.11798293250615,0.185,0.016,9.33875512892283e-38,"5","CBR3"
6.83077171550447e-42,1.39825258535675,1,0.769,9.62387426997424e-38,"5","HMGB1"
6.94258396849118e-42,1.27925608528155,0.723,0.188,9.78140655320722e-38,"5","RNASEH2C"
7.45503223464412e-42,1.79037210497933,0.254,0.03,1.05033949153901e-37,"5","CSE1L"
7.86811236345274e-42,1.05078287474708,0.7,0.17,1.10853835088686e-37,"5","NDUFB6"
1.05249307436235e-41,1.66344354756554,0.215,0.022,1.48285749246912e-37,"5","BRI3BP"
1.06391387922874e-41,1.53957137030347,0.446,0.083,1.49894826444538e-37,"5","RPA1"
1.34860224899027e-41,1.9223816389535,0.246,0.028,1.90004570860239e-37,"5","POLD3"
1.56176062874199e-41,1.66158911372402,0.254,0.03,2.20036454983459e-37,"5","AHCY"
1.60100776857183e-41,1.27598712307191,0.746,0.199,2.25565984514085e-37,"5","TALDO1"
1.74140633772706e-41,2.08667771525047,0.231,0.025,2.45346738922366e-37,"5","DONSON"
1.9129346969873e-41,1.61640956562976,0.315,0.045,2.6951336945854e-37,"5","MSH6"
3.03799197200223e-41,1.33500884602823,0.354,0.055,4.28022688935394e-37,"5","TP53"
4.07840371355299e-41,1.90051578526598,0.246,0.029,5.74606299202481e-37,"5","TIPIN"
4.31305600200367e-41,1.00048347963314,0.5,0.097,6.07666460122296e-37,"5","HDAC2"
4.69362942108758e-41,1.45209836263529,0.308,0.043,6.61285449137029e-37,"5","MLH1"
6.66403469167733e-41,1.94913735812494,0.208,0.021,9.38895847710419e-37,"5","DDX11"
7.05778097488403e-41,1.47662345529669,0.338,0.052,9.94370761551411e-37,"5","ECI1"
7.10052868317529e-41,1.42348427992457,0.377,0.062,1.00039348617257e-36,"5","PAFAH1B3"
