"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.10357592956727e-08,0.235656977103151,0.192,0.062,0.000296372812716733,"5","LTV1"
2.11637473190785e-08,0.157847246441723,0.223,0.076,0.000298176035978497,"5","UBR1"
2.13354628197508e-08,-0.0879227506805447,0.185,0.057,0.000300595335667469,"5","SCYL1"
2.15768288544944e-08,0.77428268043493,0.115,0.028,0.000303995941730972,"5","MICAL3"
2.16072114460279e-08,-0.239650805880946,0.277,0.101,0.000304424002063087,"5","COX19"
2.1652209400088e-08,0.359600484502768,0.108,0.025,0.00030505797823784,"5","LRWD1"
2.18975288863083e-08,0.34648846057838,0.208,0.07,0.000308514284479198,"5","LRPPRC"
2.19591186599213e-08,0.109848466700516,0.238,0.083,0.000309382022799631,"5","CYTH2"
2.20005441652349e-08,0.188605503349613,0.131,0.034,0.000309965666743994,"5","NFE2L1"
2.21646634433623e-08,0.320939033482863,0.138,0.038,0.000312277943253531,"5","TRAK2"
2.22904986141576e-08,0.170022346688186,0.223,0.076,0.000314050834974866,"5","GORASP2"
2.2501958583058e-08,0.163482313209795,0.169,0.051,0.000317030094476704,"5","TCEA2"
2.26817312995413e-08,0.493632461233659,0.192,0.062,0.000319562912279237,"5","FAM98C"
2.27181849348956e-08,0.203882030653371,0.2,0.065,0.000320076507547745,"5","ATF7IP2"
2.27520935461877e-08,0.0452064304289513,0.477,0.208,0.000320554245972238,"5","SLA2"
2.27799215890993e-08,0.492069354790809,0.146,0.041,0.00032094631526882,"5","CCZ1B"
2.29516568191492e-08,0.0415746774639785,0.7,0.325,0.000323365892924992,"5","EIF3L"
2.31312523781137e-08,0.0567563698059259,0.192,0.061,0.000325896214755244,"5","PIGF"
2.31467133145589e-08,0.133708720371789,0.131,0.034,0.000326114043888821,"5","DBR1"
2.36946494349116e-08,-0.0598302558961468,0.277,0.103,0.000333833915888469,"5","NUMA1"
2.37275753193649e-08,-0.111204774070178,0.285,0.106,0.000334297808674532,"5","TXNDC15"
2.37306564975454e-08,-0.327683090559275,0.277,0.1,0.000334341219393917,"5","DRAM2"
2.37821052366184e-08,0.28779210184959,0.246,0.088,0.000335066080678716,"5","SKI"
2.38531421592834e-08,0.127216902342557,0.138,0.038,0.000336066919882144,"5","IFITM10"
2.39792749895648e-08,0.0150613963059247,0.577,0.26,0.000337844005327979,"5","GNPTAB"
2.40075766869595e-08,0.495540875755863,0.108,0.025,0.000338242747942573,"5","CPTP"
2.40204461017715e-08,0.409306958774219,0.1,0.022,0.000338424065127858,"5","DOT1L"
2.40568922757793e-08,0.584938642336447,0.231,0.082,0.000338937555273455,"5","NIN"
2.4210714886514e-08,0.40654238878311,0.138,0.038,0.000341104762036096,"5","FAM76A"
2.42456221905771e-08,-0.0174734162729264,0.646,0.297,0.000341596571043041,"5","SCAND1"
2.4339377744531e-08,0.630348697716295,0.115,0.028,0.000342917493042697,"5","ARL13B"
2.4368522167428e-08,0.187363452622028,0.177,0.055,0.000343328108816893,"5","EFTUD2"
2.44120541274543e-08,0.0108252148995076,0.146,0.041,0.000343941430601704,"5","CDADC1"
2.45433607988138e-08,0.0746095875431234,0.238,0.084,0.000345791410294487,"5","PRCC"
2.46550782932664e-08,0.109585713078555,0.369,0.151,0.000347365398073831,"5","GYG1"
2.4750043687184e-08,0.094635745009947,0.438,0.188,0.000348703365508735,"5","NIPBL"
2.47585782912258e-08,-0.0398549166193972,0.423,0.178,0.00034882360954508,"5","MTCH1"
2.48669474435303e-08,0.372095657038565,0.177,0.055,0.000350350422531898,"5","TMEM245"
2.49899642993175e-08,0.289793935925081,0.169,0.051,0.000352083607013085,"5","SLC39A6"
2.50761888561164e-08,0.268870883069459,0.123,0.031,0.000353298424793824,"5","ING5"
2.51709521628283e-08,0.0862615283636909,0.162,0.048,0.000354633545022087,"5","CNOT3"
2.55212049323498e-08,0.443470069143613,0.115,0.028,0.000359568256291876,"5","TTC33"
2.56517451675815e-08,-0.319470827810334,0.223,0.075,0.000361407437666056,"5","TMED1"
2.6421343788808e-08,0.264409539601977,0.162,0.048,0.000372250312640515,"5","LINC00426"
2.64403861548042e-08,0.194784229753639,0.138,0.038,0.000372518600535037,"5","BRF1"
